ID,dual_hybrid_sec,dual_hybrid_time,dual_sec,dual_time,bdd_mitm_hybrid_sec,bdd_mitm_hybrid_time,bdd_hybrid_sec,bdd_hybrid_time,bdd_sec,bdd_time,usvp_sec,usvp_time,bkw_sec,bkw_time,mitm_simple_sec,mitm_simple_time,dual_hybrid_Alb17_sec,dual_hybrid_Alb17_time,CHHS19_mitm_sec,CHHS19_mitm_time,wall time,cpu time,memory,commit,note
5,145.77,0 days 00:00:07.400000,146.35,0 days 00:00:00.100000,134.3,0 days 00:20:20.700000,142.59,0 days 00:02:07.800000,145.23,0 days 00:00:38.300000,145.23,0 days 00:00:00.900000,inf,0 days 00:09:12.700000,961.45,0 days 00:00:00,139.94,0 days 00:00:54.200000,135.48,0 days 00:01:07,20m21.4s,34m25.6s,4.4GiB,5ba00f56dd1086c3a42b98fc596c64907adb96ff,Default reduction model excluding arora-gb
4,143.77,0 days 00:00:08.200000,144.34,0 days 00:00:00.100000,132.97,0 days 00:22:22,138.01,0 days 00:02:59.100000,143.17,0 days 00:00:31.400000,143.28,0 days 00:00:00.900000,inf,0 days 00:08:36.900000,961.45,0 days 00:00:00,139.48,0 days 00:00:57.800000,132.12,0 days 00:01:14.400000,22m22.5s,36m47.2s,4.8GiB,5ba00f56dd1086c3a42b98fc596c64907adb96ff,Default reduction model excluding arora-gb
6,145.29,0 days 00:00:08.100000,145.57,0 days 00:00:00.100000,133.99,0 days 00:42:38.900000,143.77,0 days 00:05:06.100000,144.56,0 days 00:01:08.800000,144.57,0 days 00:00:00.900000,,,inf,0 days 00:00:00.600000,140.05,0 days 00:01:05.400000,134.13,0 days 00:01:04.900000,42m39.3s,51m9.1s,9.3GiB,5ba00f56dd1086c3a42b98fc596c64907adb96ff,Default reduction model excluding arora-gb
3,inf,0 days 00:00:00.800000,inf,0 days 00:00:00.100000,561.91,0 days 00:11:34.500000,,,,,inf,0 days 00:00:00.900000,367.68,0 days 00:16:15.200000,226.88,0 days 00:00:00,196.31,0 days 00:00:22.600000,164.58,0 days 00:00:39.600000,16m7.8s,30m14.7s,2.4GiB,5ba00f56dd1086c3a42b98fc596c64907adb96ff,Default reduction model excluding arora-gb
8,inf,0 days 00:00:00.800000,inf,0 days 00:00:00.100000,342.56,0 days 00:32:40,,,,,949.02,0 days 00:00:00.900000,625.55,0 days 00:44:27.800000,746.87,0 days 00:00:00,373.79,0 days 00:01:17.500000,321.96,0 days 00:01:17.100000,42m48.2s,1h24m21.5s,6.6GiB,5ba00f56dd1086c3a42b98fc596c64907adb96ff,Default reduction model excluding arora-gb
2,145.0,0 days 00:00:08,145.29,0 days 00:00:00.100000,133.84,0 days 00:41:01.500000,139.57,0 days 00:05:16.600000,174.35,0 days 00:00:48.400000,144.3,0 days 00:00:00.900000,,,inf,0 days 00:00:00.700000,139.86,0 days 00:01:13.500000,134.06,0 days 00:01:21.500000,41m2.3s,49m46.5s,8.8GiB,5ba00f56dd1086c3a42b98fc596c64907adb96ff,Default reduction model excluding arora-gb
7,146.52,0 days 00:00:07.600000,146.45,0 days 00:00:00.100000,135.61,0 days 01:33:28.900000,,,,,145.84,0 days 00:00:01,,,inf,0 days 00:00:00,141.79,0 days 00:01:21.600000,135.28,0 days 00:01:50.500000,1h33m29.7s,1h40m23.0s,20.6GiB,5ba00f56dd1086c3a42b98fc596c64907adb96ff,Default reduction model excluding arora-gb
1,198.59,0 days 00:00:06.600000,198.88,0 days 00:00:00.100000,159.5,0 days 01:31:41.800000,,,,,197.87,0 days 00:00:01,,,810.87,0 days 00:00:00,170.73,0 days 00:01:58.900000,157.19,0 days 00:01:57.900000,1h31m43.0s,1h47m0.5s,20.1GiB,5ba00f56dd1086c3a42b98fc596c64907adb96ff,Default reduction model excluding arora-gb
9,inf,0 days 00:00:00.500000,inf,0 days 00:00:00.000000,inf,0 days 00:11:01.400000,,,,,inf,0 days 00:00:00.600000,916.77,0 days 00:22:06.100000,inf,0 days 00:00:00.600000,856.1,0 days 00:00:44.400000,734.16,0 days 00:00:34.200000,,???,,5ba00f56dd1086c3a42b98fc596c64907adb96ff,Default reduction model excluding arora-gb
10,414.35,0 days 00:00:19.100000,420.25,0 days 00:00:00.100000,235.2,0 days 00:13:41.900000,266.29,0 days 00:02:16.600000,417.76,0 days 00:00:36.400000,418.02,0 days 00:00:00.600000,624.37,0 days 00:12:14.200000,682.86,0 days 00:00:00.500000,261.67,0 days 00:00:44.800000,232.52,0 days 00:00:27.100000,,???,,5ba00f56dd1086c3a42b98fc596c64907adb96ff,Default reduction model excluding arora-gb
